"AID","Book-Author"
9184,"H. S. Bennett"
9185,"Rebecca Bloom"
9186,"Leslie Spirson"
9187,"Jim Heynen"
9188,"Dave Olsen"
9189,"Diana Shaw"
9190,"Marian Morash"
9191,"Kit Pearson"
9192,"John Skoyles"
9193,"Jennifer Haigh"
9194,"Jane Gardam"
9195,"Jack Gantos"
9196,"Daniel Cohen"
9197,"Lorri Hewett"
9198,"Allan Gurganus"
9199,"Augusta Trobaugh"
9200,"Lewis Libby"
9201,"Molly Moynahan"
9202,"Linda Conway"
9203,"MARION CUNNINGHAM"
9204,"Jean Ferris"
9205,"Alexandra Parsons"
9206,"Marjorie Leet Ford"
9207,"Melissa Pritchard"
9208,"Karen Brichoux"
9209,"Lynn Messina"
9210,"Bernard Glassman"
9211,"Monique Mandali"
9212,"Michael Covino"
9213,"Christopher Reich"
9214,"Liezel Norval-Kruger"
9215,"Stacy Cretzmeyer"
9216,"Michael Leapman"
9217,"David A. Adler"
9218,"Nick Merriman"
9219,"Geraldine, Ph.D. Bednash"
9220,"Patrick Jennings"
9221,"Clare Bell"
9222,"Hannah McCouch"
9223,"Sally Prue"
9224,"Theodore J. Miller"
9225,"Timothy J. Penny"
9226,"Harry H. Harrison"
9227,"Jeanne DuPrau"
9228,"Lynda Curnyn"
9229,"Dia Calhoun"
9230,"Letty Cottin Pogrebin"
9231,"Hillary Frank"
9232,"Margery Williams"
9233,"Maryln Schwartz"
9234,"Anna Leonowens"
9235,"Nora Raleigh Baskin"
9236,"Helen Lester"
9237,"George E. Stanley"
9238,"Stephen Cumbaa"
9239,"Switzer"
9240,"MARJORIE SHARMAT"
9241,"Jean Davis Callaghan"
9242,"Julie Brinckloe"
9243,"John Astrop"
9244,"Daniel J. Hochstatter"
9245,"MARTHA STEWART"
9246,"Christina Bartolomeo"
9247,"Emanuela Stucchi Prinetti"
9248,"Husain Haddawy"
9249,"Jacky Robinson"
9250,"Ann Howard White"
9251,"Janice Kaiser"
9252,"Anne Marie Duquette"
9253,"Vella Munn"
9254,"Elizabeth Craig"
9255,"Ann Landers"
9256,"Arlene Monk"
9257,"Charlotte Agell"
9258,"PETER DICKINSON"
9259,"Angela Johnson"
9260,"Carol Goodman"
9261,"Erica Orloff"
9262,"Helen Ellis"
9263,"David Huddle"
9264,"Mavis Kaye"
9265,"Marc Aronson"
9266,"Alice Turner Curtis"
9267,"Betty Groff"
9268,"Jane Moore"
9269,"Bill Grossman"
9270,"Ruth Heller"
9271,"Sandra Marton"
9272,"Suzanne Carey"
9273,"Jennifer Taylor"
9274,"Lydia Burke"
9275,"Jenna Ryan"
9276,"Norman Kolpas"
9277,"Betsy Howie"
9278,"Lisa Cach"
9279,"Diane Milliken"
9280,"Alan Brown"
9281,"Cathy Yardley"
9282,"James Carville"
9283,"ELEANOR BERMAN"
9284,"Carolyn Coman"
9285,"David Amsden"
9286,"Suzanne Finnamore"
9287,"Erin Gobragh"
9288,"William F. Weld"
9289,"L. F. Hoffman"
9290,"Yu Lu"
9291,"Roberta Larson Duyff"
9292,"Editors of Consumer Guide"
9293,"Consumer Guide Editors"
9294,"Joan Abelove"
9295,"Michael Cadnum"
9296,"Jane Goldman"
9297,"Cynthia Hartwick"
9298,"Sarah-Kate Lynch"
9299,"Abigail Stone"
9300,"Vicki Leon"
9301,"Cecily Von Ziegesar"
9302,"Kristin McCloy"
9303,"Maxine Combs"
9304,"Andes Hruby"
9305,"JULIAN GOUGH"
9306,"Ruth L. Ozeki"
9307,"Dyan Sheldon"
9308,"Lee Iacocca"
9309,"Marcia Chellis"
9310,"Lynne Hinton"
9311,"Jane Bryant Quinn"
9312,"Marcia Stubbs"
9313,"Elizabeth Kuster"
9314,"Kate Bernheimer"
9315,"Paula Boock"
9316,"Melissa de la Cruz"
9317,"Jonathan Hull"
9318,"Hausman"
9319,"Rebbecca Ray"
9320,"Vera B. Williams"
9321,"Laura Caldwell"
9322,"RITA CIRESI"
9323,"Don Williams"
9324,"James Wolcott"
9325,"David Herbert Donald"
9326,"Caroline Hwang"
9327,"Barbara Chepaitis"
9328,"Chris Goodrich"
9329,"Morrie Schwartz"
9330,"Rachel Cusk"
9331,"Gorton Carruth"
9332,"Clare Naylor"
9333,"R. David Thomas"
9334,"Kelly Cherry"
9335,"Megan McCafferty"
9336,"John Dorfman"
9337,"Tim Paulson"
9338,"Knute Larson"
9339,"Bruce Narramore"
9340,"Renate Nummela Caine"
9341,"Fritz Ridenour"
9342,"Margaret Parker"
9343,"Peggy Schmidt"
9344,"Edward Dayton"
9345,"V. Stanford Hampson"
9346,"Marian Salzman"
9347,"Jerry Schmidt"
9348,"Mameve Medwed"
9349,"Sam Huff"
9350,"Robert E. Kowalski"
9351,"Michael Goddart"
9352,"Angela Kepler"
9353,"Carl Bernstein"
9354,"Sarah Ferguson"
9355,"Patricia Henley"
9356,"Etienne van Heerden"
9357,"Linn Ullmann"
9358,"Raj Kamal Jha"
9359,"Barbara Cohen"
9360,"Dee Alexander Brown"
9361,"Thomas Wolfe"
9362,"Korda"
9363,"Mary-Lou Weisman"
9364,"Libby Schmais"
9365,"Dwight Allen"
9366,"Hope S. Warshaw"
9367,"Doris Cross"
9368,"James Agee"
9369,"Viqui Litman"
9370,"E. M. Swift"
9371,"Richard S. Beaser"
9372,"Mary Joan Oexmann"
9373,"Ina Garten"
9374,"Nina Grunfeld"
9375,"Linda Coffee"
9376,"Angela Carter"
9377,"Peter Taylor"
9378,"Hazel M. Denning"
9379,"Alexandra Styron"
9380,"W. Edwards Deming"
9381,"Harriet Segal"
9382,"A. N. Roquelaure"
9383,"Alan Trustman"
9384,"Ravi Zacharias"
9385,"REBECCA CAMPBELL"
9386,"Mary Ann Taylor-Hall"
9387,"John Brookes"
9388,"C. Kaila Westerman"
9389,"Carol Umberger"
9390,"Rupert Everett"
9391,"Arthur Frommer"
9392,"Kevin Crossley-Holland"
9393,"Beth Wilson"
9394,"Ivana Trump"
9395,"Chris Anderson"
9396,"Rachael Ray"
9397,"Dorothy Samuels"
9398,"Anne George"
9399,"Lydia Y Minatoya"
9400,"KATHARINE HEPBURN"
9401,"Janet Tashjian"
9402,"Kate Cann"
9403,"Lucy Ellman"
9404,"Joan M. Drury"
9405,"MIKE GAYLE"
9406,"Bonnie Altenhein"
9407,"Bill McKibben"
9408,"William R. Dantz"
9409,"Desmond Bagley"
9410,"Ernest W. Angley"
9411,"Brad Densmore"
9412,"Robert Mattox"
9413,"Julie Nixon Eisenhower"
9414,"Yvonne Lehman"
9415,"Les Parrott"
9416,"Andy  Rathbone"
9417,"MATHEW TEKULSKY"
9418,"Joseph F. Girzone"
9419,"Nancy Larrick"
9420,"Jim Hohnberger"
9421,"David Ramsey"
9422,"Dina Leonhardt Koehly"
9423,"Hannah Alexander"
9424,"Robert Coles"
9425,"Dorothy Day"
9426,"Dara Joy"
9427,"Michael Kenyon"
9428,"Catherine Marshall"
9429,"C. Archer"
9430,"Elisabeth Elliot"
9431,"Lois Hoadley Dick"
9432,"Duncan Heaster"
9433,"Robert Jewett"
9434,"Carroll Ferguson Hunt"
9435,"Lorraine Peterson"
9436,"Dr. Seuss Enterprises"
9437,"Kevin Zraly"
9438,"Jack Maguire"
9439,"Bill Quinn"
9440,"Jay Schulberg"
9441,"Lafcadio Hearn"
9442,"Connie Neal"
9443,"Kay Coles James"
9444,"Ben Young"
9445,"Joshua Harris"
9446,"Laurie Beth Jones"
9447,"David Shibley"
9448,"Joanna Cole"
9449,"Antonia Felix"
9450,"Beth Henderson"
9451,"Marc Tolon Brown"
9452,"DEBORAH HAUTZIG"
9453,"Karen Kingsbury"
9454,"Jane Peart"
9455,"Read"
9456,"Cheryl Forbes"
9457,"Kitty Maynard"
9458,"Stuart J. Murphy"
9459,"ROBERTA EDWARDS"
9460,"Gary Soto"
9461,"Aliki"
9462,"William Miller"
9463,"Audrey Wood"
9464,"Natalie Savage Carlson"
9465,"Carla Stevens"
9466,"Mary Downing Hahn"
9467,"Arnold Lobel"
9468,"Laurie Lawlor"
9469,"ELIZABETH WINTHROP"
9470,"Jeanne Betancourt"
9471,"Sylvia Schur"
9472,"Kathryn Winter"
9473,"Criswell Freeman"
9474,"Urban Adventure's Ultimate Field Guide"
9475,"Jennifer McMorran"
9476,"Robert T. Hohler"
9477,"Dorothy Abbott"
9478,"Janet Lee Carey"
9479,"Emma Kallok"
9480,"Sharon M. Draper"
9481,"Chris Lynch"
9482,"James Lincoln Collier"
9483,"Christin Rickley"
9484,"Duong Thu Huong"
9485,"Athol Fugard"
9486,"Barbara H. Solomon"
9487,"Vivian Gussin Paley"
9488,"Carolyn Wyman"
9489,"Chassie West"
9490,"Jillian Hart"
9491,"Marjabelle Young Stewart"
9492,"Connie Bennett"
9493,"Anne Styles"
9494,"Rita Heron"
9495,"Aaron Karo"
9496,"Inc. Let's Go"
9497,"Tom Maremaa"
9498,"David Glusker"
9499,"Maude Casey"
9500,"Jack Kersh"
9501,"Arthur Roth"
9502,"Elizabeth Bolton"
9503,"Dan Peters"
9504,"Beth Scott"
9505,"Lester Sumrall"
9506,"Helen Chappell"
9507,"Yu Huan Zhang"
9508,"VICTOR H. MAIR"
9509,"Emma Thompson"
9510,"Francisco Candel"
9511,"Ernesto Guevara"
9512,"Luca Extebarria"
9513,"Hector Bofill"
9514,"Margit Dahlke"
9515,"Millán Bravo Lozano"
9516,"Francis Amalfi"
9517,"Alice D. Domar"
9518,"Alex Rovira Celma"
9519,"Hans Weiss"
9520,"Manuel Montalban Vazquez"
9521,"J. A. Pheby"
9522,"Nicholas Wilcox"
9523,"Ramón del Valle-Inclán"
9524,"Federico García Lorca"
9525,"Luis Díez Jiménez"
9526,"Paula Horan"
9527,"Lair, Dr Ribeiro"
9528,"Chopra"
9529,"Helen Palmer"
9530,"Nicolas Maquiavelo"
9531,"J. M. Jimenez"
9532,"AA.VV."
9533,"Francisco de Quevedo"
9534,"Alfonso Ussia"
9535,"Raymond S. Nickerson"
9536,"Lair Ribeiro"
9537,"R. Martens"
9538,"Paul Watzlawick"
9539,"J. Boeckel"
9540,"Osho"
9541,"Ulrike Dahm"
9542,"Karin Boeck"
9543,"John Brosnan"
9544,"Louise Hart"
9545,"Laurence J. Peter"
9546,"Antoine Desilets"
9547,"John Romer"
9548,"María José Voltes"
9549,"Elisabeth Kubler-Ross"
9550,"Thomas A., Dr. Harris"
9551,"Brian Weiss"
9552,"Juan Maestre Alfonso"
9553,"Sue Patton Thoele"
9554,"Antonio Ruiz Heredia"
9555,"Helen Wambach"
9556,"Frank Tipler"
9557,"Mary Sol Olba"
9558,"Francisco Aguado"
9559,"Matthew Budd"
9560,"Ramiro Calle"
9561,"Jose M. Oliver"
9562,"Ricardo de la Cierva"
9563,"Lucia Sutil"
9564,"Axel Munthe"
9565,"Luis Miravitlles"
9566,"José Luis Martín Vigil"
9567,"Gonzalo Torrente Ballester"
9568,"Pierre Choderlos De Laclos"
9569,"Nathaniel Branden"
9570,"Norma Khouri"
9571,"Le Ly Hayslip"
9572,"John Tyerman Williams"
9573,"Bernard Peterson"
9574,"Graham Thomas"
9575,"Katie Waitman"
9576,"Pamela Dean"
9577,"Rendell Braun"
9578,"Catherine Wells"
9579,"Alexandra Lapierre"
9580,"Denise Austin"
9581,"Neil Henry"
9582,"Arielle Ford"
9583,"Toru Takemitsu"
9584,"Sherwin B. Nuland"
9585,"Kate Phillips"
9586,"Connie Fowler"
9587,"Edith Forbes"
9588,"Tom Philpott"
9589,"J. T. Leroy"
9590,"Faith Sullivan"
9591,"J. Lynne Hinton"
9592,"ALICE MCDERMOTT"
9593,"Stephen Mitchell"
9594,"James Wilcox"
9595,"Clara Claiborne Park"
9596,"James Ruddick"
9597,"Stacey D'Erasmo"
9598,"E M Cioran"
9599,"Christian Bauman"
9600,"Margarite Fernandez Olmos"
9601,"Reynolds Price"
9602,"Alexa Albert"
9603,"Rosina Lippi"
9604,"Pia Pera"
9605,"Pam Durban"
9606,"J. Moussaieff Masson"
9607,"Latifa"
9608,"Shay Youngblood"
9609,"Stuart Brent"
9610,"Gina Bria"
9611,"Dan Bruce"
9612,"Edward B. Garvey"
9613,"Eugene Burdick"
9614,"Alice Thomas Ellis"
9615,"James Lovegrove"
9616,"David M Rorvik"
9617,"Irene Northan"
9618,"John Boyne"
9619,"Deirdre Purcell"
9620,"the Bronte Family"
9621,"Wole Soyinka"
9622,"John Wideman"
9623,"Robert Walser"
9624,"Scott Rice"
9625,"Jan Coffey"
9626,"Paul Simon"
9627,"Kanan Makiya"
9628,"Hannah Whitall Smith"
9629,"Alice Miller"
9630,"Henri J.M. Nouwen"
9631,"Heinrich Boll"
9632,"Frank C. Craighead Jr."
9633,"Nathan Miller"
9634,"Gita Mehta"
9635,"Karen A. Bale"
9636,"Emily Dalton"
9637,"Veronica Ashley"
9638,"Elaine Barbieri"
9639,"Tisha Hamilton"
9640,"Adele Ashworth"
9641,"Rosemary Hammond"
9642,"Anne Hampson"
9643,"Linda Shaw"
9644,"Jennifer Mikels"
9645,"Elizabeth Boyle"
9646,"Paula Hamilton"
9647,"Steven Piziks"
9648,"Jim Alexander"
9649,"Katherine Compton"
9650,"Shawna Delacorte"
9651,"Sally Garrett"
9652,"Millie Criswell"
9653,"Tina Leonard"
9654,"Laura Marie Altom"
9655,"Jo Leigh"
9656,"Muriel Bradley"
9657,"Linda Randall Wisdom"
9658,"Wayne Barton"
9659,"Craig Gardner"
9660,"Alyssa Dean"
9661,"Mary Balogh"
9662,"Dianne Castell"
9663,"Cathy Thacker"
9664,"Krista Janssen"
9665,"Suzanne Barclay"
9666,"Phyllis Houseman"
9667,"Laurey Bright"
9668,"Elizabeth Mansfield"
9669,"Shari Anton"
9670,"Beverly Engel"
9671,"James Dale"
9672,"Mary Lyons"
9673,"Leah Vale"
9674,"Karen Toller Whittenburg"
9675,"Cindy Holbrook"
9676,"Nicola West"
9677," D. Chiel"
9678,"Bobby Hutchinson"
9679,"Meagan Mckinney"
9680,"Bay Matthews"
9681,"Janice Bennett"
9682,"Susanne McCarthy"
9683,"Christa Merlin"
9684,"Rachel Lee"
9685,"Brian Thomsen"
9686,"Rebecca Stratton"
9687,"Gail Douglas"
9688,"Judith Duncan"
9689,"Karen Rose Smith"
9690,"Sabina Grant"
9691,"Cathie Linz"
9692,"Laurie Grant"
9693,"Amanda Lee"
9694,"Debra Lee Brown"
9695,"Roberta Leigh"
9696,"Dana Ransom"
9697,"Ana Seymour"
9698,"Parris A. Bonds"
9699,"Leandra Logan"
9700,"Teresa Howard"
9701,"Sandra Chastain"
9702,"Mary Mayer Holmes"
9703,"Catherine Mills"
9704,"Kathryn Belmont"
9705,"Andrea Edwards"
9706,"Cassie Miles"
9707,"Catherine Archer"
9708,"Donna Kimel Vitek"
9709,"Margaret Dobson"
9710,"Jessica Marchant"
9711,"Patt Bucheister"
9712,"Leslie Davis"
9713,"Anne M. Duquette"
9714,"Madeline George"
9715,"Nikki Benjamin"
9716,"Linda Cajio"
9717,"Kate Denton"
9718,"Dawn Carroll"
9719,"Lyn McConchie"
9720,"Author Unknown"
9721,"Arlene Holliday"
9722,"Jennifer Horsman"
9723,"Susannah Kells"
9724,"KAY HOOPER"
9725,"Sue Ellen Cole"
9726,"Daphne Woodward"
9727,"C. J. Carmichael"
9728,"Margaret Pargeter"
9729,"Angel Milan"
9730,"Eric L. Harry"
9731,"R.M. Meluch"
9732,"Deborah Bedford"
9733,"Christie Golden"
9734,"Lyndon Hardy"
9735,"pat wallace"
9736,"Dan Diamond"
9737,"Raymond Giles"
9738,"Billie Green"
9739,"Susan Amarillas"
9740,"Judith E. French"
9741,"Taylor Ryan"
9742,"Kristina Logan"
9743,"Robin Gideon"
9744,"Kathryn Fox"
9745,"E.A. Mares"
9746,"Greg Keyes"
9747,"Kenneth C. Davis"
9748,"George J. Demko"
9749,"Isabelle Eberhardt"
9750,"Gail Herman"
9751,"Antero Alli"
9752,"Yvonne Rees"
9753,"David Conway"
9754,"Gillian Kemp"
9755,"Maxwell Maltz"
9756,"Linda Barker"
9757,"John M. Ford"
9758,"John Toland"
9759,"Mitsuo Fuchida"
9760,"Murphy F."
9761,"Marion D. March"
9762,"Sucharitkul"
9763,"Fred Reinfeld"
9764,"Anna Riva"
9765,"Y.L. Harris"
9766,"Christopher O'Brien"
9767,"W.C. Westmoreland"
9768,"Kaoru Iwamoto"
9769,"James E. Kloetzel"
9770,"Charles Pfannes"
9771,"Charles E. Pfannes"
9772,"Freddie North"
9773,"S. Jason Black"
9774,"Christopher S. Hyatt"
9775,"Doris Piserchia"
9776,"Stephen M. Rainey"
9777,"Bill Drummond"
9778,"John, Dr. Mumford"
9779,"Eddie Izzard"
9780,"Alicia Appleman-Jurman"
9781,"Edward Bond"
9782,"Ardal O'Hanlon"
9783,"Umberto Bellini"
9784,"Josef Haslinger"
9785,"Werner Lansburgh"
9786,"John Toohey"
9787,"Rudolph F. Rau"
9788,"John Christopher"
9789,"Samuel Beckett"
9790,"Allen Carr"
9791,"Dieter Markert"
9792,"Theodor Fontane"
9793,"Philippa Carr"
9794,"GROUT BENOITE"
9795,"Batya Gur"
9796,"J.C. Anders"
9797,"Ardella Garland"
9798,"Edward Eager"
9799,"Jason Little"
9800,"Kevin Freiberg"
9801,"Laura Moore"
9802,"Janet Gleeson"
9803,"William Hill Brown"
9804,"Elizabeth Barrett Browning"
9805,"Gregg Easterbrook"
9806,"John Bunyan"
9807,"Arthur Jacobs"
9808,"Bartolome De Las Casas"
9809,"Chuang-Tzu"
9810,"John Leguizamo"
9811,"Sonia Moore"
9812,"Marianne Moore"
9813,"Steve Estes"
9814,"Steven Levenkron"
9815,"Otto F. Wahl"
9816,"Glasgow Media Group"
9817,"Mary Ellen Copeland"
9818,"SYLVIA PLATH"
9819,"Gregory Stock"
9820,"Jennifer James"
9821,"Barbara Stanny"
9822,"John Killick"
9823,"Elina Furman"
9824,"Maureen Tan"
9825,"Donna Boyd"
9826,"L. E. Modesitt"
9827,"Karin Goodwin"
9828,"Anthony L Abraham"
9829,"Suzann Ledbetter"
9830,"Linda French"
9831,"Wilton Barnhardt"
9832,"Liz Ireland"
9833,"Harry Kressing"
9834,"Simon Maginn"
9835,"Josepha Sherman"
9836,"Bill Ransom"
9837,"Gayle Greeno"
9838,"Marilyn Bowering"
9839,"Bill, Jr Bryson"
9840,"James Humphreys"
9841,"Günter De Bruyn"
9842,"Stephanie Gertler"
9843,"Nicholas Rinaldi"
9844,"Matthew Witten"
9845,"Margaret Eleanor Atwood"
9846,"Nava Atlas"
9847,"Susan Bixler"
9848,"Karl Albrecht"
9849,"Philip B Crosby"
9850,"Philip B. Crosby"
9851,"Hilary Mantel"
9852,"J. D. Landis"
9853,"Ruth Picardie"
9854,"Patricia Wendorf"
9855,"Ruth Reichl"
9856,"David Pesci"
9857,"Andrew Miller"
9858,"Nega Mezlekia"
9859,"Stuart Mclean"
9860,"Robin McGrath"
9861,"William Maxwell"
9862,"Diane Baker Mason"
9863,"Roy Macgregor"
9864,"Bruce Kirkby"
9865,"Eric Kraft"
9866,"James Jones"
9867,"Jack Hodgins"
9868,"Dakota Hamilton"
9869,"DON HANNAH"
9870,"Kenn Harper"
9871,"Hiromi Goto"
9872,"Sara George"
9873,"Helen Fremont"
9874,"Cynthia Flood"
9875,"Marina Endicott"
9876,"Alan Cumyn"
9877,"Beatrice Culleton Mosionier"
9878,"Michael Collins"
9879,"Kevin Chong"
9880,"Grant Buday"
9881,"Sandra Birdsell"
9882,"Joan Barfoot"
9883,"M. E. Hirsh"
9884,"Ethan Mordden"
9885,"Ji-li Jiang"
9886,"Fawn M. Brodie"
9887,"William H. Whyte"
9888,"Stephen J. Adler"
9889,"Adele Parks"
9890,"Cyrano De"
9891,"Barbara Johnson"
9892,"Mary Janice Davidson"
9893,"Lani Nedbalek"
9894,"Theresa Caplan"
9895,"Ingrid Tomey"
9896,"Calvin Miller"
9897,"Lyrick Publishing Staff"
9898,"Marion Chesney"
9899,"Bonnie MacDougal"
9900,"Richard Grant"
9901,"Richard Hoyt"
9902,"Margaret Allan"
9903,"Miriam Grace Monfredo"
9904,"Olga Masters"
9905,"James W. Ellison"
9906,"Tove Jansson"
9907,"EDWARD PACKARD"
9908,"Peter King"
9909,"ROBERT CORMIER"
9910,"Lillian Herlands Hornstein"
9911,"Denise Swanson"
9912,"Sam Walton"
9913,"D. J. Donaldson"
9914,"CONNIE MAY FOWLER"
9915,"Octavia Butler"
9916,"Susan Dawn"
9917,"Stuart Holmes Coleman"
9918,"Colin Eisler"
9919,"Mary Elizabeth Schlayer"
9920,"Robert Siegel"
9921,"Dave Thompson"
9922,"Eleanor Wachtel"
9923,"Lilian Lee"
9924,"Rudolf Ritsema"
9925,"Trina Paulus"
9926,"Deanne Stillman"
9927,"Richard Llewellyn"
9928,"Harriette Arnow"
9929,"Ed Stivender"
9930,"William Jay Smith"
9931,"Jeff Shaara"
9932,"Rahna R. Rizzuto"
9933,"Beth Kephart"
9934,"Howe & Steiger"
9935,"Mike Doogan"
9936,"Bertice Berry"
9937,"Tim Mikkelsen"
9938,"MARTIN H. GREENBERG"
9939,"JEAN SHEPHERD"
9940,"Howard Schultz"
9941,"Barbara Neely"
9942,"Marc Summers"
9943,"Armand Eisen"
9944,"Emma Stanford"
9945,"Ben Edlund"
9946,"Richard Goldstein"
9947,"Maurice Horn"
9948,"Paul Dickson"
9949,"Carol McD. Wallace"
9950,"Angus Oblong"
9951,"Angela Shelf Medearis"
9952,"Nancy Birnes"
9953,"Patti Shosteck"
9954,"Joan Rutt"
9955,"MARK BITTMAN"
9956,"Steven Raichlen"
9957,"Sheila Lukins"
9958,"JULEE ROSSO"
9959,"Arthur Schwartz"
9960,"Beatrice A. Ojakangas"
9961,"Mable Hoffman"
9962,"Shirley Gill"
9963,"Jill Dupleix"
9964,"Judith Choate"
9965,"Viana La Place"
9966,"Judy Rosenberg"
9967,"Judy Wicks"
9968,"Julee Rosso"
9969,"Marion Rombauer Becker"
9970,"Mark  Bittman"
9971,"Beverly Mills"
9972,"Anya Von Bremzen"
9973,"Grace Shugart"
9974,"Ernest Matthew Mickler"
9975,"Richard Sullivan"
9976,"Betsy Wyckoff"
9977,"Pat LaFontaine"
9978,"Cynthia Tobias"
9979,"Tom Gardner"
9980,"Jill Bloom"
9981,"Will Weaver"
9982,"Ryan White"
9983,"BILL O'REILLY"
9984,"Rudolf Dreikurs"
9985,"Claudia Jones"
9986,"Greg Nagan"
9987,"Donald Goines"
9988,"Floyd C. Watkins"
9989,"CORMAC MCCARTHY"
9990,"Stirling Silliphant"
9991,"D. Howard King"
9992,"JOANNA COLE"
9993,"Robert A Seiple"
9994,"Inge Sargent"
9995,"Yukio Pseud Mishima"
9996,"Honolulu Theatre for Youth"
9997,"Meri Ishikawa"
9998,"Rhys Bowen"
9999,"Charles Knief"
10000,"David Galef"
10001,"Susan Stamberg"
10002,"Wu Ningkun"
10003,"Molly Brown"
10004,"Nancy Turner"
10005,"Louie Anderson"
10006,"Zoe Benjamin"
10007,"Lois-Ann Yamanaka"
10008,"Mariama Ba"
10009,"Noelle Howey"
10010,"Aaron McGruder"
10011,"United States"
10012,"Billy Bob Thornton"
10013,"Rollins"
10014,"Irene Diamond"
10015,"Mary Daly"
10016,"Diane Bell"
10017,"THOMAS BERGER"
10018,"Patricia Kennealy"
10019,"Alice Bach"
10020,"Hugh Lofting"
10021,"Iona Opie"
10022,"James Pruitt"
10023,"Lorraine Johnson-Coleman"
10024,"Cary O. Yager"
10025,"E.B. White"
10026,"John Travolta"
10027,"Rachel Simmons"
10028,"Raul Correa"
10029,"M. T. Anderson"
10030,"Ysaye M. Barnwell"
10031,"Marcia Williams"
10032,"Janet Schulman"
10033,"Heidi E. Murkoff"
10034,"Caroline Schrodes"
10035,"Deborah Chase"
10036,"Kevin Baker"
10037,"Illona Linthwaite"
10038,"Gertrude Crampton"
10039,"Edith Fisher Hunter"
10040,"Patricia MacLachlan"
10041,"Neil Simon"
10042,"Bil Keane"
10043,"Gary A. Dias"
10044,"David Rees"
10045,"SHEILA BURNFORD"
10046,"Sydney Barbara Metrick"
10047,"Taro Gomi"
10048,"Christopher Paolini"
10049,"Mariane Pearl"
10050,"Marie Hara"
10051,"Chris Van Allsburg"
10052,"Jerdine Nolen"
10053,"Steven Lindblom"
10054,"Stephen Laws"
10055,"Upton Beall Sinclair"
10056,"Graham Lord"
10057,"David Brooks"
10058,"Gail Scott"
10059,"Nelson Mandela"
10060,"Bernice Johnson Reagon"
10061,"Sting"
10062,"Anne Garrels"
10063,"DAYNA CURRY"
10064,"Herman Miller"
10065,"Debra Doyle"
10066,"Evelyn Goodman"
10067,"Caroline Knapp"
10068,"John White"
10069,"Dorothy West"
10070,"Isabel Fonseca"
10071,"Venise Berry"
10072,"GAVIN DE BECKER"
10073,"E. M Forster"
10074,"Beverley Naidoo"
10075,"Mike Lester"
10076,"Jr, Bill Martin"
10077,"Nina Bernstein"
10078,"Chip Silverman"
10079,"Walt Disney"
10080,"TOM BROKAW"
10081,"J. D. Bisignani"
10082,"Margaret Miner"
10083,"Marianne Larned"
10084,"Stuart Miller"
10085,"Patricia Meyer Spacks"
10086,"Jamie Stamper"
10087,"Robert Byrne"
10088,"Jon Spoelstra"
10089,"Robert Smith"
10090,"Jean Hortense Seligmann"
10091,"Paul S Newman"
10092,"Golden Books Little"
10093,"Susan Hightower"
10094,"Teddy Margules"
10095,"Rick Detorie"
10096,"Teddy Slater"
10097,"Margaret A. Hartelius"
10098,"Harry McNaught"
10099,"Steve Metzger"
10100,"Steven Kroll"
10101,"Freya Littledale"
10102,"B.G. Ford"
10103,"Leone Castell Anderson"
10104,"Ann Braybrooks"
10105,"David Korr"
10106,"Sal Murdocca"
10107,"JON STONE"
10108,"Cooper Edens"
10109,"Martin Scot Kosins"
10110,"Sydney Taylor"
10111,"Frederick Crews"
10112,"HARRY MCNAUGHT"
10113,"George Booth"
10114,"Sachi Fukuda"
10115,"Greg Critser"
10116,"Mark D. Sanders"
10117,"Marian Engel"
10118,"Wilbur A. Smith"
10119,"Susan Schade"
10120,"Charlotte Zolotow"
10121,"Graham Oakley"
10122,"Joan Clarke"
10123,"Andrew Matzner"
10124,"Oliver Stone"
10125,"Mary Kawena Pukui"
10126,"STEVEN MILLHAUSER"
10127,"Margaret Cho"
10128,"Ntozake Shange"
10129,"Cathi Hanauer"
10130,"Ron Clark"
10131,"Ted Rall"
10132,"Greg Hyland"
10133,"DAVID SIMON"
10134,"Adrian Nicole LeBlanc"
10135,"Michael Fry"
10136,"Gregory White Smith"
10137,"Ruth Harris"
10138,"Carellin Brooks"
10139,"Tim Cahill"
10140,"Tom Bodett"
10141,"Peter N. Forman"
10142,"George P. Pelecanos"
10143,"Patsy Scarry"
10144,"George Pelecanos"
10145,"James H. English"
10146,"Maryann K. Cusimano"
10147,"Jodi Endicott"
10148,"Curt Sanburn"
10149,"Eileen Curran"
10150,"J.D. Christilian"
10151,"Thomas Szollosi"
10152,"Karen Moline"
10153,"James G. Nourse"
10154,"Edna Buchanan"
10155,"Mitchell Smith"
10156,"Lynda La Plante"
10157,"Christopher Hyde"
10158,"Margaret Yorke"
10159,"William Lashner"
10160,"Barbara Fister"
10161,"Kyle Spencer"
10162,"Evan I. Schwartz"
10163,"Tony Dunbar"
10164,"Eleanor Taylor Bland"
10165,"Jim Knipfel"
10166,"Lowen Clausen"
10167,"Louise A. DeSalvo"
10168,"Sam Chaiton"
10169,"Cynthia Harrod-Eagles"
10170,"Louise Desalvo"
10171,"Marianne Wiggins"
10172,"Stephen Miller"
10173,"R. D. Wingfield"
10174,"Bonnie Winn"
10175,"S. Andrew Swann"
10176,"Andrew Bergman"
10177,"Steven Barnes"
10178,"Charles Ingrid"
10179,"Libby Hall"
